"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY.Name","INDICATOR.Name","FREQUENCY.Name","SCALE.Name","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"IMF.RES:WEO(4.0.0)","GIN.TMG_RPCH.A","OBS_VALUE","Guinea","Imports of goods, Volume, Percent change","Annual","Units","12.281","0.222","18.433","17.978","0.197","-23.24","27.66","34.592","-2.019","-12.424","32.212","3.25","122.586","-5.575","19.403","-6.572","60.394","-8.369"
"IMF.RES:WEO(4.0.0)","GEO.TMG_RPCH.A","OBS_VALUE","Georgia","Imports of goods, Volume, Percent change","Annual","Units","14.719","15.509","11.675","16.894","8.218","-19.233","-4.057","17.447","10.881","1.952","14.31","7.624","1.682","7.19","8.421","4.309","-11.13","7.696"
"IMF.RES:WEO(4.0.0)","GBR.TMG_RPCH.A","OBS_VALUE","United Kingdom","Imports of goods, Volume, Percent change","Annual","Units","6.648","7.88","12.962","-2.679","-0.935","-7.765","10.535","3.496","2.225","3.259","4.12","3.502","3.931","2.434","0.552","2.583","-12.164","6.856"
"IMF.RES:WEO(4.0.0)","GNQ.TMG_RPCH.A","OBS_VALUE","Equatorial Guinea, Republic of","Imports of goods, Volume, Percent change","Annual","Units","-9.154","107.555","159.369","37.784","56.302","-29.225","42.978","-23.0","2.477","-4.41","-7.28","-18.494","-6.001","-14.644","-3.265","-26.55","-22.226","-1.257"
"IMF.RES:WEO(4.0.0)","GNB.TMG_RPCH.A","OBS_VALUE","Guinea-Bissau","Imports of goods, Volume, Percent change","Annual","Units","51.741","-8.698","16.936","6.925","12.74","-12.014","3.898","5.895","-2.707","-9.569","15.02","13.412","8.748","3.483","1.582","17.73","-3.066","-7.763"
"IMF.RES:WEO(4.0.0)","GMB.TMG_RPCH.A","OBS_VALUE","Gambia, The","Imports of goods, Volume, Percent change","Annual","Units","28.78","-0.115","-2.212","1.209","-4.406","-1.065","-10.181","-3.485","19.789","6.84","7.369","5.909","8.884","6.0","6.0","5.832","5.525","5.448"
"IMF.RES:WEO(4.0.0)","GRD.TMG_RPCH.A","OBS_VALUE","Grenada","Imports of goods, Volume, Percent change","Annual","Units","","","","","","","","","","","","18.999","5.538","13.825","4.77","3.16","-11.493","-8.402"
"IMF.RES:WEO(4.0.0)","GRC.TMG_RPCH.A","OBS_VALUE","Greece","Imports of goods, Volume, Percent change","Annual","Units","2.81","0.167","14.021","16.459","-1.008","-21.361","-5.992","-9.434","-4.356","-1.741","6.912","4.242","5.739","5.672","7.078","0.063","3.048","5.007"
"IMF.RES:WEO(4.0.0)","HKG.TMG_RPCH.A","OBS_VALUE","Hong Kong Special Administrative Region, People's Republic of China","Imports of goods, Volume, Percent change","Annual","Units","15.182","9.166","9.409","9.852","3.733","-6.954","19.88","6.663","4.575","9.919","1.475","-2.673","0.708","7.272","4.723","-8.246","-3.184","17.162"
"IMF.RES:WEO(4.0.0)","IDN.TMG_RPCH.A","OBS_VALUE","Indonesia","Imports of goods, Volume, Percent change","Annual","Units","14.818","23.946","-2.312","7.688","17.611","-18.214","17.611","18.256","15.744","1.045","0.287","-7.461","0.957","10.71","14.479","-9.651","-14.851","15.162"
"IMF.RES:WEO(4.0.0)","IRL.TMG_RPCH.A","OBS_VALUE","Ireland","Imports of goods, Volume, Percent change","Annual","Units","-2.526","17.567","10.502","11.624","-11.425","-1.529","-5.717","3.486","5.82","2.316","9.145","15.78","6.749","-1.384","11.373","9.148","-2.508","4.292"
"IMF.RES:WEO(4.0.0)","IRN.TMG_RPCH.A","OBS_VALUE","Iran, Islamic Republic of","Imports of goods, Volume, Percent change","Annual","Units","16.766","5.513","7.649","6.407","12.282","5.249","0.531","-5.462","-11.597","-6.597","16.91","-8.553","13.861","10.325","-19.388","-3.749","-12.648","6.77"
"IMF.RES:WEO(4.0.0)","ISR.TMG_RPCH.A","OBS_VALUE","Israel","Imports of goods, Volume, Percent change","Annual","Units","9.996","4.202","2.916","26.639","5.024","-15.689","18.325","10.367","-0.084","0.006","3.723","0.139","10.293","1.352","5.221","2.476","-1.076","20.218"
"IMF.RES:WEO(4.0.0)","KEN.TMG_RPCH.A","OBS_VALUE","Kenya","Imports of goods, Volume, Percent change","Annual","Units","6.428","17.891","12.415","17.48","1.546","18.472","-1.683","10.061","-0.159","4.319","0.256","-2.651","-6.273","9.945","-10.452","6.506","1.745","13.0"
"IMF.RES:WEO(4.0.0)","JPN.TMG_RPCH.A","OBS_VALUE","Japan","Imports of goods, Volume, Percent change","Annual","Units","8.36","7.811","6.027","1.446","1.439","-17.077","13.488","7.18","4.835","3.339","6.495","0.44","-1.175","3.307","3.814","0.988","-6.763","5.206"
"IMF.RES:WEO(4.0.0)","KNA.TMG_RPCH.A","OBS_VALUE","St. Kitts and Nevis","Imports of goods, Volume, Percent change","Annual","Units","","","","","","","","","","","","23.716","16.496","-5.729","-1.677","0.667","-12.512","-23.125"
"IMF.RES:WEO(4.0.0)","KIR.TMG_RPCH.A","OBS_VALUE","Kiribati","Imports of goods, Volume, Percent change","Annual","Units","-1.629","23.468","-12.832","5.061","-3.559","-9.025","6.334","23.341","18.004","4.316","-5.259","-7.063","5.048","5.002","-14.864","9.45","-2.891","22.744"
"IMF.RES:WEO(4.0.0)","KOR.TMG_RPCH.A","OBS_VALUE","Korea, Republic of","Imports of goods, Volume, Percent change","Annual","Units","10.66","7.034","12.882","10.38","3.203","-6.871","19.651","17.784","2.197","1.477","0.41","0.477","3.954","7.493","1.859","-2.657","0.243","12.524"
"IMF.RES:WEO(4.0.0)","LCA.TMG_RPCH.A","OBS_VALUE","St. Lucia","Imports of goods, Volume, Percent change","Annual","Units","","","","","","","","","","","","3.991","20.703","-3.974","-4.092","-7.89","-2.484","1.58"
"IMF.RES:WEO(4.0.0)","LBY.TMG_RPCH.A","OBS_VALUE","Libya","Imports of goods, Volume, Percent change","Annual","Units","-10.51","13.581","0.425","24.47","7.587","21.267","7.187","-59.779","137.558","31.494","-8.614","-34.548","-44.645","14.997","22.369","34.662","-46.774","59.802"
"IMF.RES:WEO(4.0.0)","LVA.TMG_RPCH.A","OBS_VALUE","Latvia, Republic of","Imports of goods, Volume, Percent change","Annual","Units","20.656","17.055","21.879","17.446","-11.14","-30.894","12.806","22.78","5.247","-0.127","3.0","1.647","3.565","8.546","6.338","2.224","-1.143","15.061"
