"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY.Name","INDICATOR.Name","FREQUENCY.Name","SCALE.Name","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"IMF.RES:WEO(4.0.0)","GNQ.PPPPC.A","OBS_VALUE","Equatorial Guinea, Republic of","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Annual","Units","25051.652","26758.667","28082.972","31763.839","36421.575","35476.124","31258.975","32509.194","34337.269","32083.48","31452.117","27723.82","24556.627","22720.409","23009.456","20201.904","16693.918","20370.66"
"IMF.RES:WEO(4.0.0)","HTI.PPPPC.A","OBS_VALUE","Haiti","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Annual","Units","2302.383","2408.616","2485.847","2629.681","2706.591","2836.817","2665.516","2813.708","2834.882","2960.619","3016.614","3075.08","3113.143","3200.275","3080.717","3057.23","2971.271","3004.659"
"IMF.RES:WEO(4.0.0)","IDN.PPPPC.A","OBS_VALUE","Indonesia","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Annual","Units","5050.913","5428.429","5820.651","6268.284","6767.976","7029.645","7462.433","7940.979","8456.574","8954.663","9439.798","9873.843","10335.112","10932.638","11621.366","12236.943","11929.526","12947.903"
"IMF.RES:WEO(4.0.0)","IND.PPPPC.A","OBS_VALUE","India","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Annual","Units","2424.178","2655.356","2913.145","3174.395","3288.308","3519.405","3812.002","4039.199","4281.486","4572.709","4935.502","5316.103","5741.261","6169.499","6742.708","7181.522","6997.36","8087.994"
"IMF.RES:WEO(4.0.0)","IRL.PPPPC.A","OBS_VALUE","Ireland","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Annual","Units","44267.882","47125.612","49575.252","52126.105","49950.488","47370.412","48529.24","50164.394","50671.095","52371.121","57797.603","71974.851","72520.361","80112.223","85910.709","91670.644","97529.356","116027.715"
"IMF.RES:WEO(4.0.0)","IRQ.PPPPC.A","OBS_VALUE","Iraq","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Annual","Units","5931.361","6060.006","6437.552","6578.251","7086.729","7192.171","7545.736","8074.595","9135.847","9748.961","9540.221","9813.391","11204.428","10939.446","12859.969","13062.877","11181.921","13380.409"
"IMF.RES:WEO(4.0.0)","ISR.PPPPC.A","OBS_VALUE","Israel","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Annual","Units","23837.606","25178.067","26924.973","28822.724","29779.791","29622.778","31065.974","32843.726","33649.247","34974.134","36228.343","36664.414","37904.619","39487.892","40206.234","41369.206","41200.707","46530.862"
"IMF.RES:WEO(4.0.0)","JAM.PPPPC.A","OBS_VALUE","Jamaica","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Annual","Units","7946.509","8239.438","8708.739","9041.741","9108.207","8820.713","8768.961","9052.77","9151.103","9316.085","9524.825","9683.173","9913.649","10144.014","10362.742","10412.425","9298.4","9917.426"
"IMF.RES:WEO(4.0.0)","ITA.PPPPC.A","OBS_VALUE","Italy","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Annual","Units","35262.374","36372.472","38008.63","39459.175","39476.581","37347.16","38205.62","39095.938","38478.711","38312.485","38934.793","39677.359","40638.216","42097.133","43539.369","46593.584","44284.674","50377.31"
"IMF.RES:WEO(4.0.0)","JPN.PPPPC.A","OBS_VALUE","Japan","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Annual","Units","29720.361","31200.987","32606.041","33983.429","34231.458","32517.785","34249.99","34900.287","36117.685","37533.424","38364.455","39368.764","40047.948","41518.116","42247.099","42817.548","42564.888","44663.481"
"IMF.RES:WEO(4.0.0)","KEN.PPPPC.A","OBS_VALUE","Kenya","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Annual","Units","2714.454","2879.394","3060.466","3264.645","3244.385","3282.894","3506.842","3676.764","3829.085","3944.517","4115.285","4269.19","4389.964","4526.682","4773.528","5042.165","5127.992","5711.521"
"IMF.RES:WEO(4.0.0)","KGZ.PPPPC.A","OBS_VALUE","Kyrgyz Republic","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Annual","Units","2854.102","2902.522","3053.315","3366.074","3661.456","3748.52","3727.371","3987.215","4003.592","4427.468","4593.829","4719.358","4868.029","5088.044","4921.011","5471.463","5345.188","5906.108"
